1624,77,7271,364,1115,1610,20.9,4.4,265,3.5,11.2,60,3,26.8,2699,751,10,9916,0,4,2129,564,0,
3161,126,14170,934,768,3357,26.6,3.6,1157,7.5,4.1,79,6,42.5,1296,46,14,18871,3,27,858,407,1,
91,106,7399,493,301,1439,13.6,2.9,288,3.7,2.6,85,18,16.9,749,19,8,11400,0,7,538,198,1,
93,106,7385,491,301,1427,13.5,2.9,277,3.6,2.6,85,18,16.8,747,19,8,11374,0,8,536,197,1,
3685,134,14006,957,637,3342,24.9,3.4,2419,14.7,2.9,82,19,40.8,2578,24,11,21609,1,42,1621,894,1,
3688,134,13962,954,637,3330,24.9,3.4,2417,14.8,3.0,82,19,40.6,2576,24,11,21561,1,42,1620,893,1,
1129,487,55494,3480,1678,14101,29.0,4.0,7268,11.6,2.2,211,26,66.8,4881,90,30,77416,9,11,2862,1872,1,
1130,480,53925,3380,1451,13824,28.8,4.0,6970,11.4,1.9,205,26,67.4,4839,83,28,75112,9,11,2825,1879,1,
2667,300,20057,1587,464,4087,13.6,2.6,2600,11.5,1.3,279,32,14.6,1828,16,14,35058,0,3,1317,508,1,
2668,297,19627,1561,430,3986,13.4,2.5,2561,11.5,1.3,276,32,14.4,1786,14,12,34395,0,3,1291,492,1,
3693,134,13962,955,640,3336,24.9,3.4,2441,14.9,3.0,82,19,40.7,2572,24,11,21592,1,42,1618,891,1,
2158,132,9883,655,209,2039,15.4,3.0,1161,10.5,1.4,78,11,26.1,718,10,5,14712,1,3,259,437,1,
1213,104,5963,467,412,1103,10.6,2.4,62,1.0,5.8,73,17,15.1,341,25,11,7153,18,8,239,71,1,
2672,300,20053,1587,464,4085,13.6,2.6,2600,11.5,1.3,279,32,14.6,1826,16,14,35051,0,3,1315,508,1,
1137,121,5729,505,307,1093,9.0,2.2,380,6.2,3.5,100,16,10.9,1136,17,8,8711,0,0,913,216,1,
626,307,27829,2700,1854,6908,22.5,2.5,6534,19.0,4.1,174,25,39.7,3042,64,24,45018,0,17,2121,794,1,
627,307,27936,2705,1854,6939,22.6,2.5,6535,19.0,4.1,174,25,39.9,3052,64,24,45131,0,17,2126,799,1,
628,307,27640,2690,1801,6849,22.3,2.5,6527,19.1,4.0,174,25,39.4,3026,60,22,44786,0,17,2107,792,1,
2167,94,8965,537,2067,1198,12.7,2.2,1108,11.0,15.4,78,12,15.4,12862,93,34,13421,2,2,1040,11815,1,
1145,90,8104,483,109,1588,17.6,3.3,439,5.1,1.0,57,8,27.9,1117,5,3,10528,0,5,778,331,0,
2135,546,47210,4400,2902,12855,23.5,2.9,30836,39.5,2.7,404,45,31.8,4581,154,55,106311,6,32,2431,2055,1,
3861,374,42900,4306,6296,10933,29.2,2.5,6046,12.4,10.8,175,16,62.5,5815,295,18,58481,1,9,3667,2081,1,
1665,68,7893,356,2481,1361,20.0,3.8,715,8.3,20.2,67,5,20.3,2003,123,33,12289,2,42,1439,506,0,
1666,76,8602,378,2366,1391,18.3,3.7,792,8.4,17.8,75,10,18.5,2236,81,32,13318,2,42,1516,653,0,
1131,272,20512,1438,980,5176,19.0,3.5,4620,18.4,2.8,238,37,21.7,3196,49,29,34709,1,13,1645,1514,1,
1668,94,10184,584,343,2040,21.7,3.5,2467,19.5,2.1,59,6,34.6,2979,16,7,16568,0,3,2579,378,1,
1157,90,8116,483,109,1593,17.7,3.3,440,5.1,1.0,57,8,27.9,1120,5,3,10545,0,5,781,331,0,
1132,273,20741,1445,950,5233,19.2,3.5,4655,18.3,2.7,239,37,21.9,3235,47,29,35025,1,13,1674,1524,1,
139,186,12518,491,1852,1768,9.5,3.6,3338,21.1,8.3,181,51,9.8,842,144,34,22328,7,8,494,321,1,
140,192,12918,522,1912,1850,9.6,3.5,3408,20.9,8.3,187,52,9.9,883,149,34,22985,7,8,523,333,1,
2193,155,14394,798,838,2986,19.3,3.6,1169,7.5,4.2,104,16,28.7,2751,72,19,20035,0,68,2221,459,1,
1170,90,8115,483,109,1593,17.7,3.3,440,5.1,1.0,57,8,27.9,1120,5,3,10544,0,5,781,331,0,
2707,147,12112,919,34,2627,17.9,2.8,1289,9.6,0.2,123,19,21.4,1290,5,3,16245,3,6,789,447,0,
2708,144,11755,893,34,2557,17.8,2.8,1269,9.7,0.2,121,19,21.1,1277,5,3,15804,3,6,788,435,0,
1686,111,12944,614,2122,2622,23.6,4.2,1187,8.4,12.3,67,19,39.1,2027,136,20,17208,1,9,1636,362,1,
1688,111,12920,614,2122,2619,23.6,4.2,1185,8.4,12.4,67,19,39.1,2022,136,20,17181,1,9,1631,362,1,
4249,129,10907,745,138,2590,20.1,3.4,935,7.9,1.0,82,7,31.6,1618,12,7,14338,0,19,1223,375,1,
3159,792,64072,3408,6289,15961,20.2,4.7,1010,1.6,8.4,147,11,108.6,10073,526,50,74528,29,32,5825,4186,1,
670,208,15745,1300,507,3418,16.4,2.6,1833,10.4,2.3,82,6,41.7,2238,27,16,22275,3,7,1800,415,1,
4255,129,10911,745,138,2595,20.1,3.4,935,7.9,1.0,82,7,31.6,1620,12,7,14344,0,19,1225,375,1,
673,95,8040,786,530,2798,29.5,3.5,439,5.2,5.5,74,6,37.8,3191,38,11,9562,0,1,2889,299,1,
4259,128,11152,764,216,2555,20.0,3.3,961,7.9,1.5,82,7,31.2,1545,16,10,14750,0,19,1149,374,1,
2324,132,14885,769,2022,2966,22.5,3.8,963,6.1,10.7,64,6,46.3,2264,176,29,18904,0,19,1671,574,1,
1703,826,87446,7113,8463,23636,28.6,3.3,20862,19.3,6.3,602,33,39.3,25871,453,145,134364,43,113,18090,7473,1,
1704,826,88194,7143,8559,23988,29.0,3.3,20799,19.1,6.3,602,33,39.8,23456,461,146,135700,43,113,15757,7388,1,
3698,1072,78223,6349,4049,19052,17.8,3.0,20795,21.0,2.9,857,80,22.2,13432,236,80,138555,27,73,8979,4320,1,
2734,133,13517,966,388,2874,21.6,3.0,602,4.3,2.0,96,16,29.9,814,12,9,19530,1,9,457,344,1,
2736,115,10590,744,254,2089,18.2,2.8,324,3.0,1.6,86,16,24.3,618,8,8,15418,1,8,341,263,1,
2737,134,13707,984,450,2912,21.7,2.9,604,4.2,2.3,96,16,30.3,825,17,10,19743,1,10,465,346,1,
