4249,129,10907,745,138,2590,20.1,3.4,935,7.9,1.0,82,7,31.6,1618,12,7,14338,0,19,1223,375,51.1111111111,
155,62,2690,196,128,454,7.3,2.3,477,15.1,2.4,54,9,8.4,169,4,4,5347,1,14,100,52,51.1111111111,
156,62,2670,196,128,449,7.2,2.3,473,15.0,2.4,54,9,8.3,162,4,4,5319,1,11,97,51,51.1111111111,
157,46,2137,156,126,344,7.5,2.2,403,15.9,2.9,45,9,7.6,147,6,6,4362,0,12,81,47,51.1111111111,
4255,129,10911,745,138,2595,20.1,3.4,935,7.9,1.0,82,7,31.6,1620,12,7,14344,0,19,1225,375,51.1111111111,
4259,128,11152,764,216,2555,20.0,3.3,961,7.9,1.5,82,7,31.2,1545,16,10,14750,0,19,1149,374,51.1111111111,
4267,30,1568,126,0,284,9.5,2.1,43,2.7,0.0,25,11,11.4,112,0,0,2013,0,9,80,23,51.1111111111,
4274,52,4576,329,0,841,16.2,2.5,309,6.3,0.0,44,15,19.1,199,0,0,5701,0,0,61,135,51.1111111111,
4285,147,15093,997,343,3411,23.2,3.0,1352,8.2,1.6,89,12,38.3,2453,18,8,21473,2,35,1720,677,51.1111111111,
4292,204,14147,1237,0,3057,15.0,2.5,898,6.0,0.0,124,23,24.7,810,0,0,22619,1,1,470,333,51.1111111111,
4294,201,13984,1224,0,3020,15.0,2.5,885,6.0,0.0,123,23,24.6,804,0,0,22341,1,1,457,338,51.1111111111,
4295,201,13965,1223,0,3008,15.0,2.5,885,6.0,0.0,123,23,24.5,801,0,0,22316,1,1,454,338,51.1111111111,
2258,58,3132,300,0,644,11.1,2.1,228,6.8,0.0,29,4,22.2,352,0,0,4429,3,0,299,46,51.1111111111,
227,37,3801,233,315,817,22.1,3.5,51,1.3,6.0,29,4,28.2,271,18,7,5210,12,1,168,90,51.1111111111,
228,37,3844,234,305,823,22.2,3.5,51,1.3,5.8,29,4,28.4,273,18,7,5262,12,1,169,91,51.1111111111,
4335,42,3354,237,33,666,15.9,2.8,246,6.8,0.7,40,9,16.7,255,2,1,4936,0,0,135,113,51.1111111111,
241,111,10640,737,77,1879,16.9,2.5,3413,24.3,0.4,104,17,18.1,1880,6,4,20985,4,6,1408,455,51.1111111111,
243,110,10392,724,77,1826,16.6,2.5,3344,24.3,0.4,104,17,17.6,1777,6,4,20585,4,6,1336,424,51.1111111111,
244,108,9909,699,108,1748,16.2,2.5,3282,24.9,0.5,103,17,17.0,1651,8,5,19930,4,3,1241,396,51.1111111111,
2294,167,16195,1070,258,3646,21.8,3.4,1383,7.9,1.1,149,25,24.5,3374,24,9,23347,8,48,1707,1555,51.1111111111,
2301,33,11212,460,4148,1294,39.2,2.8,2986,21.0,26.2,29,5,44.6,14905,259,10,15835,0,10,937,13958,51.1111111111,
2302,33,11170,458,4148,1289,39.1,2.8,2986,21.1,26.3,29,5,44.4,14903,259,10,15790,0,10,935,13958,51.1111111111,
2308,43,3299,224,100,691,16.1,3.0,609,15.6,1.8,31,10,22.3,834,7,3,5476,1,11,504,311,51.1111111111,
2309,39,2352,187,52,511,13.1,2.7,326,12.2,1.4,25,7,20.4,667,2,2,3808,1,10,367,285,51.1111111111,
2310,66,5636,383,186,1241,18.8,3.0,985,14.9,2.0,42,11,29.5,1324,10,8,9152,2,24,730,560,51.1111111111,
2319,113,12595,626,2051,2391,21.2,3.8,293,2.3,13.6,57,6,41.9,2065,178,29,15029,0,18,1533,514,51.1111111111,
2322,110,12199,606,2003,2313,21.0,3.8,294,2.4,13.7,56,6,41.3,2000,174,28,14588,0,17,1467,516,51.1111111111,
2324,132,14885,769,2022,2966,22.5,3.8,963,6.1,10.7,64,6,46.3,2264,176,29,18904,0,19,1671,574,51.1111111111,
2331,30,3609,182,153,1129,37.6,6.2,863,19.3,2.7,27,3,41.8,1255,5,2,5685,0,4,1086,162,51.1111111111,
4385,55,5271,398,98,1251,22.7,3.1,480,8.3,1.3,34,4,36.8,1244,4,4,7414,0,12,624,590,51.1111111111,
4386,51,4919,396,153,1216,23.8,3.0,173,3.4,2.3,32,4,38.0,1114,9,6,6605,0,13,536,550,51.1111111111,
2346,70,6890,529,173,1519,21.7,2.9,4342,38.7,1.2,67,8,22.7,1474,8,6,13936,0,7,745,713,51.1111111111,
2347,69,6833,523,173,1507,21.8,2.9,4333,38.8,1.2,66,8,22.8,1467,8,6,13851,0,7,742,709,51.1111111111,
2348,70,6878,528,173,1517,21.7,2.9,4342,38.7,1.2,67,8,22.6,1470,8,6,13922,0,7,741,713,51.1111111111,
314,312,31028,1738,1670,5613,18.0,3.2,3754,10.8,3.6,204,22,27.5,2865,76,36,45984,2,8,1588,1215,51.1111111111,
